langdist	conceptdist	word1	word2
0.3487	0.4035	sjd:KANT	sms:KYUDES
0.3487	0.1225	es:MUNTE	pt:MUTE
0.3874	0.4891	se:BARI	sjd:TERM
0.3874	0.1645	se:BARI	sms:BARE
0.3874	0.1410	mdf:PANTA	myv:PANTU
0.3874	0.1266	liv:MEK	vep:MEKI
0.3874	0.1242	et:MEKI	liv:MEK
0.3874	0.1232	fi:MEKI	liv:MEK
0.3874	0.1227	krl:MEKI	liv:MEK
0.3874	0.0393	fi:MEKI	vep:MEKI
0.3874	0.0393	et:MEKI	vep:MEKI
0.3874	0.0393	et:MEKI	fi:MEKI
0.3874	0.0389	krl:MEKI	vep:MEKI
0.3874	0.0389	fi:MEKI	krl:MEKI
0.3874	0.0389	et:MEKI	krl:MEKI
0.4305	0.6965	mdf:PANTA	mhr:KYREK
0.4305	0.6926	mhr:KYREK	myv:PANTU
0.4305	0.5859	liv:MEK	se:BARI
0.4305	0.4987	se:BARI	vep:MEKI
0.4305	0.4979	et:MEKI	se:BARI
0.4305	0.4435	liv:MEK	sms:BARE
0.4305	0.4259	et:MEKI	sms:KYUDES
0.4305	0.4257	et:MEKI	sjd:PASK
0.4305	0.4221	fi:MEKI	sjd:PASK
0.4305	0.4197	sjd:KANT	vep:MEKI
0.4305	0.4188	sms:KYUDES	vep:MEKI
0.4305	0.4130	krl:TYKY	sjd:KANT
0.4305	0.3956	liv:MEK	sjd:KANT
0.4305	0.3555	fi:WYURI	sms:BARE
0.4305	0.2491	fi:WYURI	se:BARI
0.4305	0.1728	krl:BARA	se:BARI
0.4305	0.1635	fr:MUTAN	pt:MUTENE
0.4305	0.1518	krl:BARA	sms:BARE
0.4305	0.1376	es:MUNTANA	fr:MUTAN
0.4783	0.6280	mdf:PANTA	vep:MEKI
0.4783	0.6242	et:MEKI	mdf:PANTA
0.4783	0.6172	myv:PANTU	vep:MEKI
0.4783	0.6093	fi:MEKI	myv:PANTU
0.4783	0.6086	et:MEKI	myv:PANTU
0.4783	0.6080	fi:WYURI	mdf:PANTA
0.4783	0.5799	liv:MEK	myv:PANTU
0.4783	0.5773	liv:MEK	mdf:PANTA
0.4783	0.5152	mdf:PANTA	se:BARI
0.4783	0.5059	myv:PANTU	se:BARI
0.4783	0.4990	myv:PANTU	sms:BARE
0.4783	0.4917	mdf:PANTA	sms:BARE
0.4783	0.4792	mhr:KYREK	sjd:KANT
0.4783	0.4520	mhr:KYREK	se:BARI
0.4783	0.4265	krl:TYKY	myv:PANTU
0.4783	0.4055	krl:BARA	mdf:PANTA
0.4783	0.3863	et:MEKI	mhr:KYREK
0.4783	0.3831	kca:REP	mns:YR
0.4783	0.3778	mhr:KYREK	vep:MEKI
0.4783	0.3737	krl:TYKY	mhr:KYREK
0.4783	0.3716	liv:MEK	mhr:KYREK
0.4783	0.3566	fi:WYURI	mhr:KYREK
0.4783	0.3299	mhr:KYREK	sms:KYUDES
0.4783	0.2988	myv:PANTU	sjd:KANT
0.4783	0.2942	mdf:PANTA	sjd:KANT
0.4783	0.2444	da:PJERW	no:PERK
0.4783	0.2289	da:PJERW	sv:PERK
0.4783	0.1445	kv:KERES	udm:KYRES
0.4783	0.1154	bua:YLA	xal:YLE
0.4783	0.0383	ba:TAY	tt:TAY
0.4783	0.0295	no:PERK	sv:PERK
0.5314	0.6857	myv:PANTU	udm:KYRES
0.5314	0.6119	mdf:PANTA	udm:KYRES
0.5314	0.5102	kv:KERA	mdf:PANTA
0.5314	0.5084	hu:HEC	mns:YR
0.5314	0.4978	liv:MEK	udm:KYRES
0.5314	0.4836	hu:HEC	kca:REP
0.5314	0.4638	se:BARI	udm:KYRES
0.5314	0.4510	sjd:KANT	udm:KYRES
0.5314	0.4370	nio:TIKE	yrk:GUJ
0.5314	0.4312	et:MEKI	udm:KYRES
0.5314	0.4213	kv:CUJ	myv:PANTU
0.5314	0.4176	udm:KYRES	vep:MEKI
0.5314	0.4171	kv:KIR	se:BARI
0.5314	0.3941	kv:KERA	sjd:TERM
0.5314	0.3881	kv:KIR	liv:MEK
0.5314	0.3502	krl:TYKY	udm:KYRES
0.5314	0.3304	et:MEKI	kv:KIR
0.5314	0.3282	fi:MEKI	kv:KIR
0.5314	0.3253	fi:WYURI	udm:KYRES
0.5314	0.3165	kv:KIR	vep:MEKI
0.5314	0.3162	krl:BARA	kv:KERA
0.5314	0.3114	kv:KERES	sms:KYUDES
0.5314	0.2643	sms:KYUDES	udm:KYRES
0.5314	0.2624	kv:KERES	mhr:KYREK
0.5314	0.1520	mhr:KYREK	udm:KYRES
0.5314	0.1439	fr:MUTAN	it:MUNTANA
0.5314	0.1087	it:MUNTE	pt:MUTE
0.5314	0.0407	ba:TAY	kk:TAY
0.5314	0.0364	es:MUNTE	it:MUNTE
0.5314	0.0312	kk:TAY	tt:TAY
0.5905	0.6041	liv:MEK	mns:YR
0.5905	0.6022	de:PERK	en:MAYNTIN
0.5905	0.5956	sel:MAKA	yrk:GUJ
0.5905	0.5456	hu:HEC	se:BARI
0.5905	0.5437	hu:HEC	mdf:PANTA
0.5905	0.5076	kca:REP	liv:MEK
0.5905	0.5063	hu:HEC	myv:PANTU
0.5905	0.4941	kca:REP	vep:MEKI
0.5905	0.4896	hu:HEC	sjd:TERM
0.5905	0.4839	et:MEKI	kca:REP
0.5905	0.4669	hu:HEC	mhr:KYREK
0.5905	0.4662	et:MEKI	mns:SIP
0.5905	0.4612	nio:TIKE	sel:MAKA
0.5905	0.4591	hu:HEC	sms:KYUDES
0.5905	0.4551	hu:HEC	krl:MEKI
0.5905	0.4522	hu:HEC	liv:MEK
0.5905	0.4508	mns:SIP	vep:MEKI
0.5905	0.4504	hu:HEC	vep:MEKI
0.5905	0.4434	hu:HEC	udm:KYRES
0.5905	0.4332	et:MEKI	hu:HEC
0.5905	0.4324	fi:MEKI	hu:HEC
0.5905	0.4298	mns:YR	sjd:TERM
0.5905	0.4200	kca:REP	se:BARI
0.5905	0.4077	kca:REP	krl:BARA
0.5905	0.4066	fi:WYURI	kca:REP
0.5905	0.4048	kca:REP	sjd:PASK
0.5905	0.4002	fa:KYH	os:GUG
0.5905	0.3932	kca:REP	myv:PANTU
0.5905	0.3916	kca:REP	mdf:PANTA
0.5905	0.3914	da:PJERW	is:BETL
0.5905	0.3793	mdf:PANTA	mns:SIP
0.5905	0.3729	kca:REP	mhr:KYREK
0.5905	0.3698	kv:KIR	mns:YR
0.5905	0.3656	kca:REP	udm:KYRES
0.5905	0.3614	mns:YR	sms:BARE
0.5905	0.3611	mns:YR	se:BARI
0.5905	0.3532	kca:REP	kv:KERES
0.5905	0.3436	krl:BARA	mns:YR
0.5905	0.3402	cv:TY	tr:TA
0.5905	0.3399	cv:TY	uz:TOG
0.5905	0.3324	mns:NUR	myv:PANTU
0.5905	0.3323	kca:REP	sms:BARE
0.5905	0.3214	kk:TAY	uz:TOG
0.5905	0.3147	hu:HEC	kv:CUJ
0.5905	0.3134	ba:TAY	uz:TOG
0.5905	0.3007	tt:TAY	uz:TOG
0.5905	0.2976	mhr:KYREK	mns:YR
0.5905	0.2956	tr:TA	uz:TOG
0.5905	0.2829	mns:YR	udm:KYRES
0.5905	0.2542	pl:KYRA	sk:HURA
0.5905	0.2517	fi:WYURI	mns:YR
0.5905	0.1961	ba:TAY	cv:TY
0.5905	0.1499	is:BJATL	sv:BJEL
0.5905	0.1490	is:BETL	no:BJEL
0.5905	0.1216	cv:TY	kk:TAY
0.5905	0.0830	cv:TY	tt:TAY
0.5905	0.0634	lt:KALNES	lv:KALNS
0.5905	0.0497	kk:TAY	tr:TA
0.5905	0.0480	ba:TAY	tr:TA
0.5905	0.0393	tr:TA	tt:TAY
0.6561	0.7217	tr:TA	xal:YLE
0.6561	0.6381	kca:REP	sel:MAKA
0.6561	0.6306	sel:MAKA	udm:KYRES
0.6561	0.6249	mns:NUR	sel:MAKA
0.6561	0.6068	da:PJERW	en:MAYNTIN
0.6561	0.6026	kca:REP	yrk:GUJ
0.6561	0.5910	uz:TOG	xal:YLE
0.6561	0.5866	liv:MEK	yrk:GUJ
0.6561	0.5852	en:MAYNTIN	sv:BJEL
0.6561	0.5744	tt:TAY	xal:YLE
0.6561	0.5731	hu:HEC	sel:MAKA
0.6561	0.5654	kk:TAY	xal:YLE
0.6561	0.5558	gld:GYREN	uz:TOG
0.6561	0.5495	mdf:PANTA	yrk:GUJ
0.6561	0.5489	et:MEKI	yrk:GUJ
0.6561	0.5477	vep:MEKI	yrk:GUJ
0.6561	0.5359	sjd:KANT	yrk:GUJ
0.6561	0.5331	se:BARI	yrk:GUJ
0.6561	0.5326	krl:TYKY	yrk:GUJ
0.6561	0.5299	gld:GYREN	tr:TA
0.6561	0.5142	en:MAYNTIN	no:US
0.6561	0.5039	hi:PAHAR	os:GUG
0.6561	0.5019	de:PERK	is:BETL
0.6561	0.4973	mhr:KYREK	sel:MAKA
0.6561	0.4939	hu:HEC	nio:PERY
0.6561	0.4872	hu:HEC	yrk:GUJ
0.6561	0.4857	udm:KYRES	yrk:GUJ
0.6561	0.4795	myv:PANTU	sel:MAKA
0.6561	0.4735	sel:MAKA	sms:BARE
0.6561	0.4700	mhr:KYREK	yrk:GUJ
0.6561	0.4674	gld:GYREN	tt:TAY
0.6561	0.4626	se:BARI	sel:MAKA
0.6561	0.4588	gld:GYREN	kk:TAY
0.6561	0.4583	hr:PRTU	pl:KYRA
0.6561	0.4564	mdf:PANTA	nio:PERY
0.6561	0.4499	bua:YLA	gld:GYREN
0.6561	0.4413	hr:PRTU	ru:KURA
0.6561	0.4396	hr:PRTU	sk:HURA
0.6561	0.4374	kv:KERA	sel:MAKA
0.6561	0.4368	kca:REP	nio:PERY
0.6561	0.4314	en:MAYNTIN	is:BJATL
0.6561	0.4294	mns:NUR	yrk:GUJ
0.6561	0.4292	fi:WYURI	yrk:GUJ
0.6561	0.4279	et:MEKI	nio:TIKE
0.6561	0.4247	mhr:KYREK	nio:TIKE
0.6561	0.4172	cv:TY	gld:GYREN
0.6561	0.4101	myv:PANTU	nio:PERY
0.6561	0.4101	fi:WYURI	nio:PERY
0.6561	0.4063	nio:TIKE	vep:MEKI
0.6561	0.4056	myv:PANTU	yrk:GUJ
0.6561	0.3937	fa:TEPE	hi:PAHAR
0.6561	0.3908	liv:MEK	nio:TIKE
0.6561	0.3881	nio:PERY	se:BARI
0.6561	0.3851	mdf:PANTA	sel:MAKA
0.6561	0.3800	cv:TY	xal:YLE
0.6561	0.3794	nio:TIKE	sjd:KANT
0.6561	0.3793	mns:SIP	nio:PERY
0.6561	0.3757	bua:GATA	cv:TY
0.6561	0.3672	sms:KYUDES	yrk:GUJ
0.6561	0.3627	gld:GYREN	xal:YLE
0.6561	0.3619	ba:TAYDAR	gld:GYREN
0.6561	0.3490	nio:TIKE	udm:KYRES
0.6561	0.3481	bua:GATA	uz:TOG
0.6561	0.3477	nio:TIKE	sms:KYUDES
0.6561	0.3402	ba:PIK_KYL	xal:YLE
0.6561	0.3393	sel:MAKA	sjd:PASK
0.6561	0.3166	kv:KERA	nio:TIKE
0.6561	0.2769	bua:GATA	kk:TAY
0.6561	0.2674	bua:GATA	tt:TAY
0.6561	0.2580	bua:GATA	tr:TA
0.6561	0.2576	kv:CUJ	yrk:GUJ
0.6561	0.2519	da:PJERW	de:PERK
0.6561	0.2512	sel:MAKA	vep:MEKI
0.6561	0.2505	et:MEKI	sel:MAKA
0.6561	0.2474	fi:MEKI	sel:MAKA
0.6561	0.2443	ba:TAY	bua:GATA
0.6561	0.2439	krl:MEKI	sel:MAKA
0.6561	0.2417	krl:TYKY	nio:TIKE
0.6561	0.1959	liv:MEK	sel:MAKA
0.6561	0.1740	ru:KURA	sk:HURA
0.6561	0.1271	pl:KYRA	ru:KURA
0.6561	0.0269	de:PERK	no:PERK
0.6561	0.0264	de:PERK	sv:PERK
0.7290	0.7013	hr:PRTU	lv:KALNS
0.7290	0.6572	de:PERK	lv:KALNS
0.7290	0.6497	hr:PRTU	sq:MAL
0.7290	0.6261	lv:KALNS	sk:HURA
0.7290	0.6233	cy:MENID	pl:KYRA
0.7290	0.6219	cy:MENID	ru:KURA
0.7290	0.6180	de:PERK	sq:MAL
0.7290	0.6160	pl:KYRA	sq:MAL
0.7290	0.6132	de:PERK	fr:MUTAN
0.7290	0.6108	ru:KURA	sq:MAL
0.7290	0.6100	cy:MENID	hi:PAHAR
0.7290	0.6097	de:PERK	lt:KALNES
0.7290	0.6094	nio:TIKE	ykg:ANA
0.7290	0.6084	os:GUG	sq:MAL
0.7290	0.6084	el:URUS	sq:MAL
0.7290	0.6039	fa:TEPE	sq:MAL
0.7290	0.5977	cy:MENID	sk:HURA
0.7290	0.5955	vep:MEKI	ykg:ANA
0.7290	0.5942	hr:PRTU	lt:KALNES
0.7290	0.5934	hi:PAHAR	pt:MUTENE
0.7290	0.5932	fi:MEKI	ykg:ANA
0.7290	0.5925	et:MEKI	ykg:ANA
0.7290	0.5877	en:MAYNTIN	ru:KURA
0.7290	0.5833	hi:PAHAR	lv:KALNS
0.7290	0.5810	de:PERK	it:MUNTANA
0.7290	0.5786	gld:GYREN	ja:JAMA
0.7290	0.5771	en:MAYNTIN	hi:PAHAR
0.7290	0.5770	udm:KYRES	ykg:ANA
0.7290	0.5730	mhr:KYREK	ykg:ANA
0.7290	0.5723	en:MAYNTIN	sk:HURA
0.7290	0.5674	da:PJERW	lv:KALNS
0.7290	0.5615	hy:SAR	os:GUG
0.7290	0.5610	ce:LEM	dar:TYPYRA
0.7290	0.5602	fr:MU	sv:BJEL
0.7290	0.5519	ja:JAMA	uz:TOG
0.7290	0.5515	de:PERK	pt:MUTENE
0.7290	0.5514	pl:KYRA	pt:MUTENE
0.7290	0.5469	da:PJERW	os:GUG
0.7290	0.5467	ja:JAMA	xal:YLE
0.7290	0.5454	da:PJERW	lt:KALNES
0.7290	0.5394	fr:MUTAN	hi:PAHAR
0.7290	0.5375	kca:REP	ykg:ANA
0.7290	0.5372	cy:MENID	os:GUG
0.7290	0.5369	lv:KALNS	os:GUG
0.7290	0.5341	it:MUNTE	sv:BJEL
0.7290	0.5337	de:PERK	os:GUG
0.7290	0.5324	cy:MENID	fa:TEPE
0.7290	0.5322	dar:TYPYRA	ddo:HUN
0.7290	0.5291	de:PERK	pl:KYRA
0.7290	0.5268	pt:MUTENE	sv:BJEL
0.7290	0.5265	en:MAYNTIN	pl:KYRA
0.7290	0.5262	no:US	pl:KYRA
0.7290	0.5257	is:BJATL	os:GUG
0.7290	0.5256	fa:TEPE	hy:LER
0.7290	0.5236	cy:MENID	de:PERK
0.7290	0.5211	ja:JAMA	tt:TAY
0.7290	0.5206	liv:MEK	ykg:ANA
0.7290	0.5199	en:MAYNTIN	hy:SAR
0.7290	0.5189	en:MAYNTIN	os:GUG
0.7290	0.5176	os:GUG	sv:PERK
0.7290	0.5171	hi:PAHAR	lt:KALNES
0.7290	0.5159	da:PJERW	fr:MU
0.7290	0.5155	pl:KYRA	sv:PERK
0.7290	0.5139	ykg:ANA	yrk:GUJ
0.7290	0.5131	de:PERK	sk:HURA
0.7290	0.5125	de:PERK	ru:KURA
0.7290	0.5111	lt:KALNES	os:GUG
0.7290	0.5103	ja:JAMA	kk:TAY
0.7290	0.5099	sk:HURA	sv:BJEL
0.7290	0.5079	da:PJERW	pl:KYRA
0.7290	0.5076	se:BARI	ykg:ANA
0.7290	0.5076	fr:MUTAN	is:BETL
0.7290	0.5076	cy:MENID	hr:PRTU
0.7290	0.5058	fr:MUTAN	hy:SAR
0.7290	0.5042	fa:KYH	sk:HURA
0.7290	0.5037	cv:TY	ja:JAMA
0.7290	0.5033	ru:KURA	sv:PERK
0.7290	0.5032	is:BJATL	it:MUNTANA
0.7290	0.5012	da:PJERW	it:MUNTE
0.7290	0.5007	da:PJERW	pt:MUTE
0.7290	0.4987	hr:PRTU	is:BJATL
